# contig	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
k99_245615	classified	based on 31/32 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	not classified	not classified	not classified
k99_245680	classified	based on 5/8 ORFs	1;131567;2;1783272;1239;47928;1263026	1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Firmicutes: 1.00	NA	NA	NA	NA	Firmicutes bacterium CAG:475: 1.00
k99_245728	classified	based on 8/8 ORFs	1;131567;2;1783270;68336;976;200643;171549	1.00;1.00;1.00;0.78;0.78;0.78;0.78;0.78	Bacteria: 1.00	Bacteroidetes: 0.78	Bacteroidia: 0.78	Bacteroidales: 0.78	not classified	not classified	not classified
k99_24573	classified	based on 5/5 ORFs	1;131567;2;1783270;68336;976;200643;171549;171550;239759	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Rikenellaceae: 1.00	Alistipes: 1.00	not classified
k99_246092	classified	based on 8/8 ORFs	1;131567;2;1783272;1239;186801;186802;186803;572511	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Firmicutes: 1.00	Clostridia: 1.00	Clostridiales: 1.00	Lachnospiraceae: 1.00	Blautia: 1.00	not classified
k99_246220	classified	based on 4/4 ORFs	1;131567;2	1.00;1.00;1.00	Bacteria: 1.00	not classified	not classified	not classified	not classified	not classified	not classified
k99_24651	classified	based on 7/8 ORFs	1;131567;2;48479;77133	1.00;0.69;0.69;0.63;0.63	Bacteria: 0.69	NA	NA	NA	NA	NA	uncultured bacterium: 0.63
k99_246592	classified	based on 6/6 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;0.52;0.52;0.52;0.52;0.52;0.52;0.52	Bacteria: 1.00	Bacteroidetes: 0.52	Bacteroidia: 0.52	Bacteroidales: 0.52	Bacteroidaceae: 0.52	Bacteroides: 0.52	not classified
k99_246661	classified	based on 6/6 ORFs	1;131567;2	1.00;1.00;1.00	Bacteria: 1.00	not classified	not classified	not classified	not classified	not classified	not classified
k99_246718	classified	based on 4/4 ORFs	1;131567;2;1783270;68336;976;200643;171549;333046;909656	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.78;0.78	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	NA	Phocaeicola: 0.78	not classified
k99_246729	unclassified	hits not found in taxonomy files
k99_246924	classified	based on 5/5 ORFs	1;131567;2;1783272;1239	1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Firmicutes: 1.00	not classified	not classified	not classified	not classified	not classified
k99_247071	classified	based on 5/5 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Bacteroidia: 1.00	Bacteroidales: 1.00	Bacteroidaceae: 1.00	Bacteroides: 1.00	not classified
k99_247393	unclassified	hits not found in taxonomy files
k99_247750	classified	based on 11/11 ORFs	1;131567;2;1783270;68336;976;200643;171549;815;816;820	1.00;1.00;1.00;1.00;0.95;0.95;0.95;0.95;0.89;0.89;0.81	Bacteria: 1.00	Bacteroidetes: 0.95	Bacteroidia: 0.95	Bacteroidales: 0.95	Bacteroidaceae: 0.89	Bacteroides: 0.89	Bacteroides uniformis: 0.81
k99_248014	classified	based on 5/5 ORFs	1;131567;2;1783272;1239;186801;186802	1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Firmicutes: 1.00	Clostridia: 1.00	Clostridiales: 1.00	not classified	not classified	not classified
